Component,Failure Mode,Repurpose Option,Effectiveness,Notes
Diode (Silicon),Short Circuit,Low-value Resistor,Medium,0.05–2Ω range usable
Diode (Silicon),Short Circuit,Current Path/Jumper,High,1–3A capacity; 50–100mV drop
Diode (Silicon),Short Circuit,Temperature Sensor,Medium,2–3mV/°C sensitivity
Diode (Silicon),Open Circuit,Mechanical Spacer,High,Preserves original board layout
Diode (Silicon),Open Circuit,Antenna Element,Medium,Quarter-wave monopole from leads
Diode (Silicon),Parametric Degradation,Environmental Sensor,High,Multi-parameter: temp/humidity/radiation
Diode (Silicon),Parametric Degradation,Random Number Generator,High,1–100 kbits/sec entropy source
Diode (Zener),Voltage Shift,Non-Critical Voltage Reference,Medium,±100–500mV accuracy; threshold detection
Diode (Zener),Voltage Shift,Temperature Sensor,High,5–15mV/°C sensitivity; ±1–2°C accuracy
Diode (Zener),Increased Dynamic Resistance,Noise Generator,Medium,Controlled noise DC to several MHz
Diode (Zener),Increased Dynamic Resistance,Current Limiting Element,High,Soft current limiter; LED/sensor protection
Diode (Zener),Short Circuit,Low-Value Precision Resistor,Medium,0.1–3Ω; current sensing
Diode (Zener),Open Circuit,Precision Mechanical Spacer,High,Voltage-rated spacing; HV isolation
Diode (Schottky),Short Circuit,Low-Value Shunt Resistor,Medium,Current sense element
Diode (Schottky),Open Circuit,PCB Spacer,High,Maintains board geometry
Diode (Schottky),Leakage Increase,Humidity/Temperature Proxy,Medium,Leakage rises with heat and moisture
Diode (LED),Reduced Light Output,Low-Level Indicator,High,Standby indicators; power savings
Diode (LED),Reduced Light Output,Temperature Sensor,High,3–8mV/°C; ±1–2°C accuracy
Diode (LED),Reduced Light Output,Photodiode (Reverse Bias),Medium,Light sensor with spectral selectivity
Diode (LED),Complete Light Failure,Standard Diode Function,Medium,Rectification; protection; 20mA–1A
Diode (LED),Complete Light Failure,Photodiode,High,Pure photodetection without self-illumination
Diode (LED),Intermittent Operation,Thermal Stress Indicator,High,Temperature-dependent operation
Diode (Photodiode),Dark Current Increase,Noise Source / RNG,Medium,Entropy from dark current fluctuations
Diode (Photodiode),Dark Current Increase,Radiation Detector,Medium,Crude dosimeter
Diode (Photodiode),Sensitivity Loss,Binary Light/Dark Detector,Medium,Simple threshold detection
Diode (Photodiode),Open Circuit,Antenna Stub,Low,Lead geometry determines band
Resistor (Carbon Film),Open Circuit,PCB Spacer,High,Preserves board spacing and stability
Resistor (Carbon Film),Open Circuit,RF Parasitic Capacitor,Low,0.2–2pF between leads
Resistor (Carbon Film),Value Drift,Humidity/Temperature Proxy,Medium,ppm/°C increase; drift maps to environment
Resistor (Carbon Film),Short/Low-Ohm Scar,Jumper Wire,Medium,Lead gauge limits current to 1–3A
Resistor (Metal Film),Open Circuit,Mechanical Spacer,High,Very low parasitic C for RF decoupling
Resistor (Metal Film),Value Drift,Temperature Probe,Medium,More stable than carbon film; calibratable
Resistor (Metal Film),Short Circuit,Low-Ohm Current Sensor,Medium,mV per amp measurement
Resistor (Wire-Wound),Open Winding,Inductor Form / EMI Choke,Medium,Partial turns usable for LC tank
Resistor (Wire-Wound),Open Winding,Thermal Mass Spacer,High,Good heat spreading capability
Resistor (Wire-Wound),Hot-Spot Damage,Low-Value Heater,Medium,Partial turn short creates heating element
Resistor (Wire-Wound),Hot-Spot Damage,Current Shunt,Medium,Low-value resistance path
Resistor (Potentiometer),Dead Spots/Wiper Noise,Multi-Position Switch,Medium,Use only good segments of track
Resistor (Potentiometer),Open Track,Fixed Voltage Divider,Medium,Intact end segment still functions
Resistor (Thermistor),Value Drift,Relative Trend Sensor,Medium,Tracks temperature trends despite drift
Resistor (Thermistor),Open Circuit,Spacer with Minimal RF Capacitance,High,Minimal parasitic effects
Capacitor (Ceramic),Open Circuit,PCB Spacer / Parasitic Cap,Low,0.1–2pF remains between leads
Capacitor (Ceramic),Value Drift,Humidity Sensor,Medium,Capacitance vs RH drift exploitable
Capacitor (Ceramic),Short Circuit,Fused Link,Low,Sacrificial protection element only
Capacitor (Electrolytic),Dry-Out / Capacitance Loss,Insulating Spacer,Low,Low-value residual capacitance for timing
Capacitor (Electrolytic),Short Circuit,Fused Link / Thermal Mass,Low,Heat spreading in emergency
Capacitor (Electrolytic),Increased ESR,Crude Heating Element,Medium,ESR as resistive load for low-power heat
Capacitor (Film),Dielectric Breakdown,Fused Protection Element,Low,Parasitic capacitance still usable
Capacitor (Film),Capacitance Drift,Crude Timing Element,Medium,Environmental drift sensor
Capacitor (Film),Open Leads,Mechanical Spacer,High,Board stability element
Capacitor (Tantalum),Short Circuit,Fused Link,Low,Non-critical path protection only
Capacitor (Tantalum),Capacitance Loss,Weak Timing Element,Low,Spacer with residual capacitance
Capacitor (Tantalum),Increased Leakage,Environmental Sensor,Medium,Leakage correlates to temp/humidity
