Component,Failure Mode,Repurpose Application,Effectiveness,Notes
BJT_NPN,thermal_runaway,thermal_sensor_Vbe,Medium,Vbe drift correlates with junction temp
BJT_NPN,beta_loss,low_gain_switch,Medium,still useful for slow switching
BJT_NPN,heatsink_coupling,distributed_thermal_array,Medium,pair with neighbors for heat map
BJT_NPN_2N2222,thermal_runaway,thermal_sensor_Vbe,Medium,Vbe drift correlates with junction temp
BJT_NPN_2N2222,beta_loss,low_gain_switch,Medium,still useful for slow switching
electrolytic_cap,ESR_drift,RC_filter_degraded,Medium,higher ESR widens corner frequency
electrolytic_cap,ESR_drift,noise_channel_source,Low,entropy from leakage and ESR jitter
electrolytic_cap_220uF_25V,ESR_aging,RC_filter_degraded,Medium,higher ESR widens corner frequency
electrolytic_cap_220uF_25V,ESR_aging,parallel_ceramic_compensation,Medium,ceramic in parallel restores bandwidth
ceramic_cap,short_circuit,fused_link_sacrificial,Low,one-shot protection only
silicon_diode,short_circuit,low_value_resistor,Medium,0.1-5 ohm characterize Vf
silicon_diode,open_circuit,thermal_sensor_leakage,Medium,leakage current ~ temperature
zener_diode,voltage_drift,temperature_sensor_calibrated,High,well-documented temp coefficient
power_MOSFET,gate_short,heater_element,Medium,Rds_on drives thermal_fallback channel
power_MOSFET,Rds_on_increase,current_limiter,Medium,degraded but useful as soft limiter
connector,corrosion,mechanical_only_bond,Low,structural use only
connector,oxidation,degraded_ground_indicator,Low,reports presence of contact issue
relay,contact_welding,permanent_jumper,Medium,welded contact = always-on link
relay,coil_failure,inductor_for_LC_tank,Medium,coil still works as inductor
PCB_assembly,vibration_fatigue,structural_template,Low,traces unusable; mechanical only
SAC305_solder,fatigue,joint_resistance_telemetry,Medium,monitor R-drift for early warning
solder_joints,fatigue,conductive_paint_repair,Low,emergency continuity only
signal_trace,real_drift,backup_signal_channel,High,reroute if backup trace exists
signal_trace,real_drift,calibration_offset_target,Medium,host can subtract measured drift
logic_CMOS,undervoltage,leakage_path_indicator,Low,measurable Ileak signals brownout
analog_opamp,undervoltage,voltage_divider_passive,Low,uses input bias network only
sensor_I2C,undervoltage,bus_pullup_terminator,Low,bus benefit even if sensor dead
